college_id,college_code,college_name,branch_name,branch_code,admission_year,community,closing_cutoff
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,OC,199.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,BC,199.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,BCM,198.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,MBC,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,SC,193.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,SCA,190.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2023,ST,182.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,OC,199.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,BC,198.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,BCM,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,MBC,197.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,SC,192.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,SCA,188.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Computer Science and Engineering,CSE,2022,ST,180.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,OC,198.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,BC,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,BCM,197.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,MBC,197.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,SC,191.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,SCA,187.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2023,ST,178.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,OC,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,BC,197.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,BCM,197.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,MBC,196.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,SC,189.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,SCA,185.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Information Technology,IT,2022,ST,175.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,OC,198.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,BC,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,BCM,197.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,MBC,196.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,SC,190.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,SCA,186.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2023,ST,176.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,OC,198.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,BC,197.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,BCM,196.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,MBC,195.5
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,SC,188.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,SCA,184.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electronics and Communication Engineering,ECE,2022,ST,173.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,OC,196.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,BC,195.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,BCM,194.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,MBC,193.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,SC,185.0
ceg-guindy-0001,0001,"College of Engineering, Guindy (CEG), Anna University",Electrical and Electronics Engineering,EEE,2023,SCA,180.0
